0,0,Diputado,Provincia,
1,1,"ABRAMETO, Jacobo Alberto",Río Negro,
2,2,"AGUILAR, Eduardo Alberto",Chaco,
3,3,"AGUIRRE, Hilda Clelia",La Rioja,
4,4,"AGUNDEZ, Jorge Alfredo",San Luis,
5,5,"ARANCIO DE BELLER, Mónica",Jujuy,
6,6,"ARTAZA, Eugenio Justiniano",Corrientes,
7,7,"AVELÍN, Nancy Barbarita",San Juan,
8,8,"BANICEVICH, Jorge Esteban",Santa Cruz,
9,9,"BAR, Graciela Yolanda",Entre Ríos,
10,10,"BARRIONUEVO, Walter Basilio",Jujuy,
11,11,"BASUALDO, Roberto Gustavo",San Juan,362.gif
12,12,"BERMEJO, Rolando Adolfo",Mendoza,
13,13,"BERTONE, Rosana Andrea",Tierra del Fuego,
14,14,"BIANCALANI, Fabio Darío",Chaco,
15,15,"BLAS, Inés Imelda",Catamarca,427.gif
16,16,"BONGIORNO, María José",Río Negro,
17,17,"BORELLO, Marta Teresita",Córdoba,
18,18,"BORTOLOZZI, Adriana Raquel",Formosa,
19,19,"BUSSI, Ricardo Argentino",Tucumán,
20,20,"CABANCHIK, Samuel Manuel",Ciudad Autónoma de Buenos Aires,
21,21,"CABRAL, Salvador",Misiones,
22,22,"CAFIERO, Antonio Francisco",Buenos Aires,
23,23,"CALCAGNO Y MAILLMAN, Eric",Buenos Aires,
24,24,"CANO, José Manuel",Tucumán,
25,25,"CAPARROS, Mabel Luisa",Tierra del Fuego,
26,26,"CAPITANICH, Jorge Milton",Chaco,
27,27,"CAPOS, Liliana Delia",Tierra del Fuego,
28,28,"CASTILLO, Oscar Aníbal",Catamarca,337.gif
29,29,"CASTRO, María Elisa",Santiago del Estero,
30,30,"CATALAN MAGNI, Julio Cesar",Tierra del Fuego,
31,31,"CIMADEVILLA, Mario Jorge",Chubut,
32,32,"CLOSS, Maurice Fabián",Misiones,359.gif
33,33,"COLAZO, Mario Jorge",Tierra del Fuego,
34,34,"COLOMBO DE ACEVEDO, María Teresa",Catamarca,
35,35,"CONTI, Diana Beatriz",Buenos Aires,
36,36,"CORPACCI de MERCADO, Lucia B .",Catamarca,
37,37,"CORRADI DE BELTRÀN, Ana María",Santiago del Estero,
38,38,"CORREGIDO, Elena Mercedes",Chaco,
39,39,"CREXELL, Carmen Lucila",Neuquén,440.gif
40,40,"CURLETTI, Miriam Belén",Chaco,
41,41,"DANIELE, Mario Domingo",Tierra del Fuego,
42,42,"DE ANGELI, Alfredo Luis",Entre Ríos,438.gif
43,43,"DE LA ROSA, María Graciela",Formosa,
44,44,"DI PERNA, Graciela Agustina",Chubut,
45,45,"DIAZ, María Rosa",Tierra del Fuego,
46,46,"ELIAS DE PEREZ, Silvia Beatriz",Tucumán,451.gif
47,47,"ESCUDERO, Sonia Margarita",Salta,
48,48,"ESTENSSORO, María Eugenia",Ciudad Autónoma de Buenos Aires,
49,49,"FALCO, Luis Alberto",Río Negro,
50,50,"FELLNER, Liliana Beatriz",Jujuy,
51,51,"FERNANDEZ DE KIRCHNER, Cristina",Buenos Aires,
52,52,"FERNANDEZ DE KIRCHNER, Cristina",Santa Cruz,
53,53,"FERNANDEZ, Aníbal Domingo",Buenos Aires,
54,54,"FERNANDEZ, Nicolás Alejandro",Santa Cruz,
55,55,"FILMUS, Daniel Fernando",Ciudad Autónoma de Buenos Aires,
56,56,"FIORE VINUALES, Maria Cristina del Valle",Salta,
57,57,"FORSTMANN, Selva Judit",Santa Cruz,
58,58,"FUENTES, Marcelo Jorge",Neuquén,
59,59,"GALLEGO, Silvia Ester",La Pampa,
60,60,"GALLIA, Sergio Adrián",Neuquén,
61,61,"GARCIA LARRABURU, Silvia Marcela",Río Negro,441.gif
62,62,"GARRAMUÑO, Jorge Alberto",Tierra del Fuego,
63,63,"GIMENEZ, Sandra Daniela",Misiones,
64,64,"GIOJA, César Ambrosio",San Juan,
65,65,"GIRI, Haidé Delia",Córdoba,
66,66,"GIUSTI, Silvia Ester",Chubut,
67,67,"GIUSTINIANI, Rubén Héctor",Santa Fe,
68,68,"GODOY, Ruperto Eduardo",San Juan,
69,69,"GOMEZ DIEZ, Ricardo",Salta,
70,70,"GONZALEZ DE DUHALDE, Hilda Beatriz",Buenos Aires,
71,71,"GONZALEZ, Pablo Gerardo",Santa Cruz,
72,72,"GUASTAVINO, Pedro Guillermo Ángel",Entre Ríos,
73,73,"GUINLE, Marcelo Alejandro",Chubut,
74,74,"HIGONET, María de los Angeles",La Pampa,
75,75,"IBARRA, Vilma Lidia",Ciudad Autónoma de Buenos Aires,
76,76,"IRRAZABAL, Juan Manuel",Misiones,
77,77,"ISIDORI, Amanda Mercedes",Río Negro,
78,78,"ITURREZ de CAPELLINI, Ada Rosa",Santiago del Estero,
79,79,"JAQUE, Celso Alejandro",Mendoza,
80,80,"JENEFES, Guillermo Raúl",Jujuy,
81,81,"JUEZ, Luís Alfredo",Córdoba,
82,82,"KIRCHNER, Alicia Margarita Antonia",Santa Cruz,
83,83,"KUNATH, Sigrid Elisabeth",Entre Ríos,
84,84,"LABADO, María Ester",Santa Cruz,
85,85,"LATORRE, Roxana Itatí",Santa Fe,
88,88,"LEGUIZAMÓN, María Laura",Buenos Aires,
89,89,"LEGUIZAMÓN, María Laura",Ciudad Autónoma de Buenos Aires,
90,90,"LESCANO, Marcela Fabiana",Formosa,
91,91,"LINARES, Jaime",Buenos Aires,
92,92,"LÓPEZ ARIAS, Marcelo Eduardo",Salta,
93,93,"LÓPEZ, Osvaldo Ramón",Tierra del Fuego,
94,94,"LORES, Horacio",Neuquén,
95,95,"LOSADA, Mario Aníbal",Misiones,
96,96,"LUNA, Mirtha María Teresita",La Rioja,
97,97,"MANSILLA, Sergio Francisco",Tucumán,
98,98,"MARIN, Rubén Hugo",La Pampa,
99,99,"MARINO, Juan Carlos",La Pampa,344.gif
100,100,"MARTIN, Floriana Nélida",San Juan,
101,101,"MARTINAZZO, Luis Eduardo",San Juan,
102,102,"MARTÍNEZ PASS de CRESTO, Laura",Entre Ríos,
103,103,"MARTINEZ, Alfredo Anselmo",Santa Cruz,
104,104,"MARTINEZ, José Carlos",Tierra del Fuego,
105,105,"MASSONI, Norberto",Chubut,
106,106,"MASTANDREA, Alicia Ester",Chaco,
